"","X.3","X.2","X.1","X","srvy","common_name","species_code","filter_lat_lt","filter_lat_gt","filter_depth","model_fn","model_family","model_anisotropy","model_spatiotemporal","file_name","effort","term","estimate","std.error","conf.low","conf.high"
"1","1","1","1","1","AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","factor(year)1991","20.6856737521902","2493.25244730382","-4865.99932732964","4907.37067483402"
"2","2","2","2","2","AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","factor(year)1994","21.1477911414862","3481.15334516286","-6801.78739003884","6844.08297232182"
"3","3","3","3","3","AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","factor(year)1997","20.0598323172971","1774.19330878345","-3457.29515451021","3497.41481914481"
"4","4","4","4","4","AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","factor(year)2000","21.5342924193623","4454.85786686396","-8709.82668287892","8752.89526771765"
"5","5","5","5","5","AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","factor(year)2002","19.6338993473679","1268.32407080449","-2466.23560015466","2505.5033988494"
"6","6","6","6","6","AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","factor(year)2004","21.1847456223383","9559.32507962923","-18714.7481269614","18757.1176182061"
"7","7","7","7","7","AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","factor(year)2006","19.4887494954851","1285.73096783036","-2500.49764125985","2539.47514025082"
"8","8","8","8","8","AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","factor(year)2010","20.4061798926415","2114.16743139709","-4123.2858429332","4164.09820271848"
"9","9","9","9","9","AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","factor(year)2012","21.0787105797434","2600.52250040518","-5075.85173120046","5118.00915235994"
"10","10","10","10","10","AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","factor(year)2014","22.4115920620364","5078.60755002972","-9931.47629760942","9976.29948173349"
"11","11","11","11","11","AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","factor(year)2016","20.0611863195805","1712.05532030473","-3335.50558101788","3375.62795365704"
"12","12","12","12","12","AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","factor(year)2018","20.6884027054747","2169.40748040076","-4231.2721266718","4272.64893208275"
"13","13","13","13","13","AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","factor(year)2022","18.530322068806","798.242272854421","-1545.99578366325","1583.05642780087"
"14","14","14","14","14","AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","factor(year)2024","20.4803808683137","2270.57165616023","-4429.7582895232","4470.71905125983"
"15","15","15","15",NA,"AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","1_1","factor(year)1991","21.8758362173332","3380.38241159499","-6603.55194448149","6647.30361691616"
"16","16","16","16",NA,"AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","1_1","factor(year)1994","20.6130628777347","1725.75310470097","-3361.80086854435","3403.02699429982"
"17","17","17","17",NA,"AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","1_1","factor(year)1997","21.7511308761161","3037.57298529331","-5931.78252071059","5975.28478246282"
"18","18","18","18",NA,"AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","1_1","factor(year)2000","21.3980135864","2462.11121939152","-4804.25130235297","4847.04732952577"
"19","19","19","19",NA,"AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","1_1","factor(year)2002","21.6491361780121","2752.05785630509","-5372.28514555048","5415.5834179065"
"20","20","20","20",NA,"AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","1_1","factor(year)2004","20.4400275588806","1601.21450875998","-3117.88274113367","3158.76279625143"
"21","21","21","21",NA,"AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","1_1","factor(year)2006","21.2482758272592","2452.42279565654","-4785.41207852459","4827.90863017911"
"22","22","22","22",NA,"AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","1_1","factor(year)2010","20.9939821558204","2179.18619671583","-4250.13247901401","4292.12044332565"
"23","23","23","23",NA,"AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","1_1","factor(year)2012","21.700513522624","2776.64949996026","-5420.43250409063","5463.83353113587"
"24","24","24","24",NA,"AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","1_1","factor(year)2014","22.0960787207184","3354.37233071291","-6552.35288021426","6596.5450376557"
"25","25","25","25",NA,"AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","1_1","factor(year)2016","22.0409156687014","3275.27727951803","-6397.38459156896","6441.46642290636"
"26","26","26","26",NA,"AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","1_1","factor(year)2018","20.8155187363451","1695.80160325704","-3302.89454857273","3344.52558604542"
"27","27","27","27",NA,"AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","1_1","factor(year)2022","21.0983672244908","2172.92047719717","-4237.74750935155","4279.94424380053"
"28","28","28","28",NA,"AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","1_1","factor(year)2024","20.3889028135003","1681.81432470918","-3275.90660230005","3316.68440792705"
"29","29","29",NA,NA,"AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","factor(year)1991","20.6856737521902","2493.25244730382","-4865.99932732964","4907.37067483402"
"30","30","30",NA,NA,"AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","factor(year)1994","21.1477911414862","3481.15334516286","-6801.78739003884","6844.08297232182"
"31","31","31",NA,NA,"AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","factor(year)1997","20.0598323172971","1774.19330878345","-3457.29515451021","3497.41481914481"
"32","32","32",NA,NA,"AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","factor(year)2000","21.5342924193623","4454.85786686396","-8709.82668287892","8752.89526771765"
"33","33","33",NA,NA,"AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","factor(year)2002","19.6338993473679","1268.32407080449","-2466.23560015466","2505.5033988494"
"34","34","34",NA,NA,"AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","factor(year)2004","21.1847456223383","9559.32507962923","-18714.7481269614","18757.1176182061"
"35","35","35",NA,NA,"AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","factor(year)2006","19.4887494954851","1285.73096783036","-2500.49764125985","2539.47514025082"
"36","36","36",NA,NA,"AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","factor(year)2010","20.4061798926415","2114.16743139709","-4123.2858429332","4164.09820271848"
"37","37","37",NA,NA,"AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","factor(year)2012","21.0787105797434","2600.52250040518","-5075.85173120046","5118.00915235994"
"38","38","38",NA,NA,"AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","factor(year)2014","22.4115920620364","5078.60755002972","-9931.47629760942","9976.29948173349"
"39","39","39",NA,NA,"AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","factor(year)2016","20.0611863195805","1712.05532030473","-3335.50558101788","3375.62795365704"
"40","40","40",NA,NA,"AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","factor(year)2018","20.6884027054747","2169.40748040076","-4231.2721266718","4272.64893208275"
"41","41","41",NA,NA,"AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","factor(year)2022","18.530322068806","798.242272854421","-1545.99578366325","1583.05642780087"
"42","42","42",NA,NA,"AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","factor(year)2024","20.4803808683137","2270.57165616023","-4429.7582895232","4470.71905125983"
"43","43",NA,NA,NA,"AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","1_1","factor(year)1991","21.8758362173332","3380.38241159499","-6603.55194448149","6647.30361691616"
"44","44",NA,NA,NA,"AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","1_1","factor(year)1994","20.6130628777347","1725.75310470097","-3361.80086854435","3403.02699429982"
"45","45",NA,NA,NA,"AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","1_1","factor(year)1997","21.7511308761161","3037.57298529331","-5931.78252071059","5975.28478246282"
"46","46",NA,NA,NA,"AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","1_1","factor(year)2000","21.3980135864","2462.11121939152","-4804.25130235297","4847.04732952577"
"47","47",NA,NA,NA,"AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","1_1","factor(year)2002","21.6491361780121","2752.05785630509","-5372.28514555048","5415.5834179065"
"48","48",NA,NA,NA,"AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","1_1","factor(year)2004","20.4400275588806","1601.21450875998","-3117.88274113367","3158.76279625143"
"49","49",NA,NA,NA,"AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","1_1","factor(year)2006","21.2482758272592","2452.42279565654","-4785.41207852459","4827.90863017911"
"50","50",NA,NA,NA,"AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","1_1","factor(year)2010","20.9939821558204","2179.18619671583","-4250.13247901401","4292.12044332565"
"51","51",NA,NA,NA,"AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","1_1","factor(year)2012","21.700513522624","2776.64949996026","-5420.43250409063","5463.83353113587"
"52","52",NA,NA,NA,"AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","1_1","factor(year)2014","22.0960787207184","3354.37233071291","-6552.35288021426","6596.5450376557"
"53","53",NA,NA,NA,"AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","1_1","factor(year)2016","22.0409156687014","3275.27727951803","-6397.38459156896","6441.46642290636"
"54","54",NA,NA,NA,"AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","1_1","factor(year)2018","20.8155187363451","1695.80160325704","-3302.89454857273","3344.52558604542"
"55","55",NA,NA,NA,"AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","1_1","factor(year)2022","21.0983672244908","2172.92047719717","-4237.74750935155","4279.94424380053"
"56","56",NA,NA,NA,"AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","1_1","factor(year)2024","20.3889028135003","1681.81432470918","-3275.90660230005","3316.68440792705"
"57",NA,NA,NA,NA,"AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","02_1","factor(year)1991","16.4349512245375","571.748919609919","-1104.17233941059","1137.04224185967"
"58",NA,NA,NA,NA,"AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","02_1","factor(year)1994","17.3445976001775","784.99133769495","-1521.21015245784","1555.8993476582"
"59",NA,NA,NA,NA,"AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","02_1","factor(year)1997","17.3868424157123","806.086085922998","-1562.51285443222","1597.28653926365"
"60",NA,NA,NA,NA,"AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","02_1","factor(year)2000","17.4066056964651","835.440766554986","-1620.02720796784","1654.84041936077"
"61",NA,NA,NA,NA,"AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","02_1","factor(year)2002","18.3850915002937","1146.2084339804","-2228.14215787734","2264.91234087793"
"62",NA,NA,NA,NA,"AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","02_1","factor(year)2004","17.3688299070371","861.466048108757","-1671.07359829018","1705.81125810425"
"63",NA,NA,NA,NA,"AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","02_1","factor(year)2006","16.4335887973945","605.306776835008","-1169.94589339724","1202.81307099203"
"64",NA,NA,NA,NA,"AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","02_1","factor(year)2010","17.6627736240672","975.765806446843","-1894.80306435743","1930.12861160556"
"65",NA,NA,NA,NA,"AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","02_1","factor(year)2012","19.1345421437351","1529.99858816237","-2979.60758705165","3017.87667133912"
"66",NA,NA,NA,NA,"AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","02_1","factor(year)2014","17.5910777413707","833.042243793919","-1615.14171769515","1650.32387317789"
"67",NA,NA,NA,NA,"AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","02_1","factor(year)2016","18.3090717315671","923.22392410481","-1791.1765691796","1827.79471264273"
"68",NA,NA,NA,NA,"AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","02_1","factor(year)2018","16.7650916579432","535.073047203185","-1031.9588099584","1065.48899327428"
"69",NA,NA,NA,NA,"AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","02_1","factor(year)2022","17.3953074156199","788.145996662112","-1527.34246060154","1562.13307543278"
"70",NA,NA,NA,NA,"AI","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","02_1","factor(year)2024","16.2143926602239","553.336640354808","-1068.30549376159","1100.73427908204"
